secondary headers,primary headers,plenum volume,intake runners
9.25,375,12.199999999999989,3.75
9.25,375,12.199999999999989,4.0
9.25,375,12.299999999999988,2
9.25,375,12.299999999999988,2.25
9.25,375,12.299999999999988,2.5
9.25,375,12.299999999999988,2.75
9.25,375,12.299999999999988,3.0
9.25,375,12.299999999999988,3.25
9.25,375,12.299999999999988,3.5
9.25,375,12.299999999999988,3.75
9.25,375,12.299999999999988,4.0
9.25,375,12.399999999999988,2
9.25,375,12.399999999999988,2.25
9.25,375,12.399999999999988,2.5
9.25,375,12.399999999999988,2.75
9.25,375,12.399999999999988,3.0
9.25,375,12.399999999999988,3.25
9.25,375,12.399999999999988,3.5
9.25,375,12.399999999999988,3.75
9.25,375,12.399999999999988,4.0
9.25,375,12.499999999999988,2
9.25,375,12.499999999999988,2.25
9.25,375,12.499999999999988,2.5
9.25,375,12.499999999999988,2.75
9.25,375,12.499999999999988,3.0
9.25,375,12.499999999999988,3.25
9.25,375,12.499999999999988,3.5
9.25,375,12.499999999999988,3.75
9.25,375,12.499999999999988,4.0
9.25,375,12.599999999999987,2
9.25,375,12.599999999999987,2.25
9.25,375,12.599999999999987,2.5
9.25,375,12.599999999999987,2.75
9.25,375,12.599999999999987,3.0
9.25,375,12.599999999999987,3.25
9.25,375,12.599999999999987,3.5
9.25,375,12.599999999999987,3.75
9.25,375,12.599999999999987,4.0
9.25,375,12.699999999999987,2
9.25,375,12.699999999999987,2.25
9.25,375,12.699999999999987,2.5
9.25,375,12.699999999999987,2.75
9.25,375,12.699999999999987,3.0
9.25,375,12.699999999999987,3.25
9.25,375,12.699999999999987,3.5
9.25,375,12.699999999999987,3.75
9.25,375,12.699999999999987,4.0
9.25,375,12.799999999999986,2
9.25,375,12.799999999999986,2.25
9.25,375,12.799999999999986,2.5
9.25,375,12.799999999999986,2.75
9.25,375,12.799999999999986,3.0
9.25,375,12.799999999999986,3.25
9.25,375,12.799999999999986,3.5
9.25,375,12.799999999999986,3.75
9.25,375,12.799999999999986,4.0
9.25,375,12.899999999999986,2
9.25,375,12.899999999999986,2.25
9.25,375,12.899999999999986,2.5
9.25,375,12.899999999999986,2.75
9.25,375,12.899999999999986,3.0
9.25,375,12.899999999999986,3.25
9.25,375,12.899999999999986,3.5
9.25,375,12.899999999999986,3.75
9.25,375,12.899999999999986,4.0
9.25,375,12.999999999999986,2
9.25,375,12.999999999999986,2.25
9.25,375,12.999999999999986,2.5
9.25,375,12.999999999999986,2.75
9.25,375,12.999999999999986,3.0
9.25,375,12.999999999999986,3.25
9.25,375,12.999999999999986,3.5
9.25,375,12.999999999999986,3.75
9.25,375,12.999999999999986,4.0
9.25,375,13.099999999999985,2
9.25,375,13.099999999999985,2.25
9.25,375,13.099999999999985,2.5
9.25,375,13.099999999999985,2.75
9.25,375,13.099999999999985,3.0
9.25,375,13.099999999999985,3.25
9.25,375,13.099999999999985,3.5
9.25,375,13.099999999999985,3.75
9.25,375,13.099999999999985,4.0
9.25,375,13.199999999999985,2
9.25,375,13.199999999999985,2.25
9.25,375,13.199999999999985,2.5
9.25,375,13.199999999999985,2.75
9.25,375,13.199999999999985,3.0
9.25,375,13.199999999999985,3.25
9.25,375,13.199999999999985,3.5
9.25,375,13.199999999999985,3.75
9.25,375,13.199999999999985,4.0
9.25,375,13.299999999999985,2
9.25,375,13.299999999999985,2.25
9.25,375,13.299999999999985,2.5
9.25,375,13.299999999999985,2.75
9.25,375,13.299999999999985,3.0
9.25,375,13.299999999999985,3.25
9.25,375,13.299999999999985,3.5
9.25,375,13.299999999999985,3.75
9.25,375,13.299999999999985,4.0
9.25,375,13.399999999999984,2
9.25,375,13.399999999999984,2.25
9.25,375,13.399999999999984,2.5
9.25,375,13.399999999999984,2.75
9.25,375,13.399999999999984,3.0
9.25,375,13.399999999999984,3.25
9.25,375,13.399999999999984,3.5
9.25,375,13.399999999999984,3.75
9.25,375,13.399999999999984,4.0
9.25,375,13.499999999999984,2
9.25,375,13.499999999999984,2.25
9.25,375,13.499999999999984,2.5
9.25,375,13.499999999999984,2.75
9.25,375,13.499999999999984,3.0
9.25,375,13.499999999999984,3.25
9.25,375,13.499999999999984,3.5
9.25,375,13.499999999999984,3.75
9.25,375,13.499999999999984,4.0
9.25,375,13.599999999999984,2
9.25,375,13.599999999999984,2.25
9.25,375,13.599999999999984,2.5
9.25,375,13.599999999999984,2.75
9.25,375,13.599999999999984,3.0
9.25,375,13.599999999999984,3.25
9.25,375,13.599999999999984,3.5
9.25,375,13.599999999999984,3.75
9.25,375,13.599999999999984,4.0
9.25,375,13.699999999999983,2
9.25,375,13.699999999999983,2.25
9.25,375,13.699999999999983,2.5
9.25,375,13.699999999999983,2.75
9.25,375,13.699999999999983,3.0
9.25,375,13.699999999999983,3.25
9.25,375,13.699999999999983,3.5
9.25,375,13.699999999999983,3.75
9.25,375,13.699999999999983,4.0
9.25,375,13.799999999999983,2
9.25,375,13.799999999999983,2.25
9.25,375,13.799999999999983,2.5
9.25,375,13.799999999999983,2.75
9.25,375,13.799999999999983,3.0
9.25,375,13.799999999999983,3.25
9.25,375,13.799999999999983,3.5
9.25,375,13.799999999999983,3.75
9.25,375,13.799999999999983,4.0
9.25,375,13.899999999999983,2
9.25,375,13.899999999999983,2.25
9.25,375,13.899999999999983,2.5
9.25,375,13.899999999999983,2.75
9.25,375,13.899999999999983,3.0
9.25,375,13.899999999999983,3.25
9.25,375,13.899999999999983,3.5
9.25,375,13.899999999999983,3.75
9.25,375,13.899999999999983,4.0
9.25,375,13.999999999999982,2
9.25,375,13.999999999999982,2.25
9.25,375,13.999999999999982,2.5
9.25,375,13.999999999999982,2.75
9.25,375,13.999999999999982,3.0
9.25,375,13.999999999999982,3.25
9.25,375,13.999999999999982,3.5
9.25,375,13.999999999999982,3.75
9.25,375,13.999999999999982,4.0
9.25,385,9,2
9.25,385,9,2.25
9.25,385,9,2.5
9.25,385,9,2.75
9.25,385,9,3.0
9.25,385,9,3.25
9.25,385,9,3.5
9.25,385,9,3.75
9.25,385,9,4.0
9.25,385,9.1,2
9.25,385,9.1,2.25
9.25,385,9.1,2.5
9.25,385,9.1,2.75
9.25,385,9.1,3.0
9.25,385,9.1,3.25
9.25,385,9.1,3.5
9.25,385,9.1,3.75
9.25,385,9.1,4.0
9.25,385,9.2,2
9.25,385,9.2,2.25
9.25,385,9.2,2.5
9.25,385,9.2,2.75
9.25,385,9.2,3.0
9.25,385,9.2,3.25
9.25,385,9.2,3.5
9.25,385,9.2,3.75
9.25,385,9.2,4.0
9.25,385,9.299999999999999,2
9.25,385,9.299999999999999,2.25
9.25,385,9.299999999999999,2.5
9.25,385,9.299999999999999,2.75
9.25,385,9.299999999999999,3.0
9.25,385,9.299999999999999,3.25
9.25,385,9.299999999999999,3.5
9.25,385,9.299999999999999,3.75
9.25,385,9.299999999999999,4.0
9.25,385,9.399999999999999,2
9.25,385,9.399999999999999,2.25
9.25,385,9.399999999999999,2.5
9.25,385,9.399999999999999,2.75
9.25,385,9.399999999999999,3.0
9.25,385,9.399999999999999,3.25
9.25,385,9.399999999999999,3.5
9.25,385,9.399999999999999,3.75
9.25,385,9.399999999999999,4.0
9.25,385,9.499999999999998,2
9.25,385,9.499999999999998,2.25
9.25,385,9.499999999999998,2.5
9.25,385,9.499999999999998,2.75
9.25,385,9.499999999999998,3.0
9.25,385,9.499999999999998,3.25
9.25,385,9.499999999999998,3.5
9.25,385,9.499999999999998,3.75
9.25,385,9.499999999999998,4.0
9.25,385,9.599999999999998,2
9.25,385,9.599999999999998,2.25
9.25,385,9.599999999999998,2.5
9.25,385,9.599999999999998,2.75
9.25,385,9.599999999999998,3.0
9.25,385,9.599999999999998,3.25
9.25,385,9.599999999999998,3.5
9.25,385,9.599999999999998,3.75
9.25,385,9.599999999999998,4.0
9.25,385,9.699999999999998,2
9.25,385,9.699999999999998,2.25
9.25,385,9.699999999999998,2.5
9.25,385,9.699999999999998,2.75
9.25,385,9.699999999999998,3.0
9.25,385,9.699999999999998,3.25
9.25,385,9.699999999999998,3.5
9.25,385,9.699999999999998,3.75
9.25,385,9.699999999999998,4.0
9.25,385,9.799999999999997,2
9.25,385,9.799999999999997,2.25
9.25,385,9.799999999999997,2.5
9.25,385,9.799999999999997,2.75
9.25,385,9.799999999999997,3.0
9.25,385,9.799999999999997,3.25
9.25,385,9.799999999999997,3.5
9.25,385,9.799999999999997,3.75
9.25,385,9.799999999999997,4.0
9.25,385,9.899999999999997,2
9.25,385,9.899999999999997,2.25
9.25,385,9.899999999999997,2.5
9.25,385,9.899999999999997,2.75
9.25,385,9.899999999999997,3.0
9.25,385,9.899999999999997,3.25
9.25,385,9.899999999999997,3.5
9.25,385,9.899999999999997,3.75
9.25,385,9.899999999999997,4.0
9.25,385,9.999999999999996,2
9.25,385,9.999999999999996,2.25
9.25,385,9.999999999999996,2.5
9.25,385,9.999999999999996,2.75
9.25,385,9.999999999999996,3.0
9.25,385,9.999999999999996,3.25
9.25,385,9.999999999999996,3.5
9.25,385,9.999999999999996,3.75
9.25,385,9.999999999999996,4.0
9.25,385,10.099999999999996,2
9.25,385,10.099999999999996,2.25
9.25,385,10.099999999999996,2.5
9.25,385,10.099999999999996,2.75
9.25,385,10.099999999999996,3.0
9.25,385,10.099999999999996,3.25
9.25,385,10.099999999999996,3.5
9.25,385,10.099999999999996,3.75
9.25,385,10.099999999999996,4.0
9.25,385,10.199999999999996,2
9.25,385,10.199999999999996,2.25
9.25,385,10.199999999999996,2.5
9.25,385,10.199999999999996,2.75
9.25,385,10.199999999999996,3.0
9.25,385,10.199999999999996,3.25
9.25,385,10.199999999999996,3.5
9.25,385,10.199999999999996,3.75
9.25,385,10.199999999999996,4.0
9.25,385,10.299999999999995,2
9.25,385,10.299999999999995,2.25
9.25,385,10.299999999999995,2.5
9.25,385,10.299999999999995,2.75
9.25,385,10.299999999999995,3.0
9.25,385,10.299999999999995,3.25
9.25,385,10.299999999999995,3.5
9.25,385,10.299999999999995,3.75
9.25,385,10.299999999999995,4.0
9.25,385,10.399999999999995,2
9.25,385,10.399999999999995,2.25
9.25,385,10.399999999999995,2.5
9.25,385,10.399999999999995,2.75
9.25,385,10.399999999999995,3.0
9.25,385,10.399999999999995,3.25
9.25,385,10.399999999999995,3.5
9.25,385,10.399999999999995,3.75
9.25,385,10.399999999999995,4.0
9.25,385,10.499999999999995,2
9.25,385,10.499999999999995,2.25
9.25,385,10.499999999999995,2.5
9.25,385,10.499999999999995,2.75
9.25,385,10.499999999999995,3.0
9.25,385,10.499999999999995,3.25
9.25,385,10.499999999999995,3.5
9.25,385,10.499999999999995,3.75
9.25,385,10.499999999999995,4.0
9.25,385,10.599999999999994,2
9.25,385,10.599999999999994,2.25
9.25,385,10.599999999999994,2.5
9.25,385,10.599999999999994,2.75
9.25,385,10.599999999999994,3.0
9.25,385,10.599999999999994,3.25
9.25,385,10.599999999999994,3.5
9.25,385,10.599999999999994,3.75
9.25,385,10.599999999999994,4.0
9.25,385,10.699999999999994,2
9.25,385,10.699999999999994,2.25
9.25,385,10.699999999999994,2.5
9.25,385,10.699999999999994,2.75
9.25,385,10.699999999999994,3.0
9.25,385,10.699999999999994,3.25
9.25,385,10.699999999999994,3.5
9.25,385,10.699999999999994,3.75
9.25,385,10.699999999999994,4.0
9.25,385,10.799999999999994,2
9.25,385,10.799999999999994,2.25
9.25,385,10.799999999999994,2.5
9.25,385,10.799999999999994,2.75
9.25,385,10.799999999999994,3.0
9.25,385,10.799999999999994,3.25
9.25,385,10.799999999999994,3.5
9.25,385,10.799999999999994,3.75
9.25,385,10.799999999999994,4.0
9.25,385,10.899999999999993,2
9.25,385,10.899999999999993,2.25
9.25,385,10.899999999999993,2.5
9.25,385,10.899999999999993,2.75
9.25,385,10.899999999999993,3.0
9.25,385,10.899999999999993,3.25
9.25,385,10.899999999999993,3.5
9.25,385,10.899999999999993,3.75
9.25,385,10.899999999999993,4.0
9.25,385,10.999999999999993,2
9.25,385,10.999999999999993,2.25
9.25,385,10.999999999999993,2.5
9.25,385,10.999999999999993,2.75
9.25,385,10.999999999999993,3.0
9.25,385,10.999999999999993,3.25
9.25,385,10.999999999999993,3.5
9.25,385,10.999999999999993,3.75
9.25,385,10.999999999999993,4.0
9.25,385,11.099999999999993,2
9.25,385,11.099999999999993,2.25
9.25,385,11.099999999999993,2.5
9.25,385,11.099999999999993,2.75
9.25,385,11.099999999999993,3.0
9.25,385,11.099999999999993,3.25
9.25,385,11.099999999999993,3.5
9.25,385,11.099999999999993,3.75
9.25,385,11.099999999999993,4.0
9.25,385,11.199999999999992,2
9.25,385,11.199999999999992,2.25
9.25,385,11.199999999999992,2.5
9.25,385,11.199999999999992,2.75
9.25,385,11.199999999999992,3.0
9.25,385,11.199999999999992,3.25
9.25,385,11.199999999999992,3.5
9.25,385,11.199999999999992,3.75
9.25,385,11.199999999999992,4.0
9.25,385,11.299999999999992,2
9.25,385,11.299999999999992,2.25
9.25,385,11.299999999999992,2.5
9.25,385,11.299999999999992,2.75
9.25,385,11.299999999999992,3.0
9.25,385,11.299999999999992,3.25
9.25,385,11.299999999999992,3.5
9.25,385,11.299999999999992,3.75
9.25,385,11.299999999999992,4.0
9.25,385,11.399999999999991,2
9.25,385,11.399999999999991,2.25
9.25,385,11.399999999999991,2.5
9.25,385,11.399999999999991,2.75
9.25,385,11.399999999999991,3.0
9.25,385,11.399999999999991,3.25
9.25,385,11.399999999999991,3.5
9.25,385,11.399999999999991,3.75
9.25,385,11.399999999999991,4.0
9.25,385,11.499999999999991,2
9.25,385,11.499999999999991,2.25
9.25,385,11.499999999999991,2.5
9.25,385,11.499999999999991,2.75
9.25,385,11.499999999999991,3.0
9.25,385,11.499999999999991,3.25
9.25,385,11.499999999999991,3.5
9.25,385,11.499999999999991,3.75
9.25,385,11.499999999999991,4.0
9.25,385,11.59999999999999,2
9.25,385,11.59999999999999,2.25
9.25,385,11.59999999999999,2.5
9.25,385,11.59999999999999,2.75
9.25,385,11.59999999999999,3.0
9.25,385,11.59999999999999,3.25
9.25,385,11.59999999999999,3.5
9.25,385,11.59999999999999,3.75
9.25,385,11.59999999999999,4.0
9.25,385,11.69999999999999,2
9.25,385,11.69999999999999,2.25
9.25,385,11.69999999999999,2.5
9.25,385,11.69999999999999,2.75
9.25,385,11.69999999999999,3.0
9.25,385,11.69999999999999,3.25
9.25,385,11.69999999999999,3.5
9.25,385,11.69999999999999,3.75
9.25,385,11.69999999999999,4.0
9.25,385,11.79999999999999,2
9.25,385,11.79999999999999,2.25
9.25,385,11.79999999999999,2.5
9.25,385,11.79999999999999,2.75
9.25,385,11.79999999999999,3.0
9.25,385,11.79999999999999,3.25
9.25,385,11.79999999999999,3.5
9.25,385,11.79999999999999,3.75
9.25,385,11.79999999999999,4.0
9.25,385,11.89999999999999,2
9.25,385,11.89999999999999,2.25
9.25,385,11.89999999999999,2.5
9.25,385,11.89999999999999,2.75
9.25,385,11.89999999999999,3.0
9.25,385,11.89999999999999,3.25
9.25,385,11.89999999999999,3.5
9.25,385,11.89999999999999,3.75
9.25,385,11.89999999999999,4.0
9.25,385,11.99999999999999,2
9.25,385,11.99999999999999,2.25
9.25,385,11.99999999999999,2.5
9.25,385,11.99999999999999,2.75
9.25,385,11.99999999999999,3.0
9.25,385,11.99999999999999,3.25
9.25,385,11.99999999999999,3.5
9.25,385,11.99999999999999,3.75
9.25,385,11.99999999999999,4.0
9.25,385,12.099999999999989,2
9.25,385,12.099999999999989,2.25
9.25,385,12.099999999999989,2.5
9.25,385,12.099999999999989,2.75
9.25,385,12.099999999999989,3.0
9.25,385,12.099999999999989,3.25
9.25,385,12.099999999999989,3.5
9.25,385,12.099999999999989,3.75
9.25,385,12.099999999999989,4.0
9.25,385,12.199999999999989,2
9.25,385,12.199999999999989,2.25
9.25,385,12.199999999999989,2.5
9.25,385,12.199999999999989,2.75
9.25,385,12.199999999999989,3.0
9.25,385,12.199999999999989,3.25
9.25,385,12.199999999999989,3.5
9.25,385,12.199999999999989,3.75
9.25,385,12.199999999999989,4.0
9.25,385,12.299999999999988,2
9.25,385,12.299999999999988,2.25
9.25,385,12.299999999999988,2.5
9.25,385,12.299999999999988,2.75
9.25,385,12.299999999999988,3.0
9.25,385,12.299999999999988,3.25
9.25,385,12.299999999999988,3.5
9.25,385,12.299999999999988,3.75
9.25,385,12.299999999999988,4.0
9.25,385,12.399999999999988,2
9.25,385,12.399999999999988,2.25
9.25,385,12.399999999999988,2.5
9.25,385,12.399999999999988,2.75
9.25,385,12.399999999999988,3.0
9.25,385,12.399999999999988,3.25
9.25,385,12.399999999999988,3.5
9.25,385,12.399999999999988,3.75
9.25,385,12.399999999999988,4.0
9.25,385,12.499999999999988,2
9.25,385,12.499999999999988,2.25
9.25,385,12.499999999999988,2.5
9.25,385,12.499999999999988,2.75
9.25,385,12.499999999999988,3.0
9.25,385,12.499999999999988,3.25
9.25,385,12.499999999999988,3.5
9.25,385,12.499999999999988,3.75
9.25,385,12.499999999999988,4.0
9.25,385,12.599999999999987,2
9.25,385,12.599999999999987,2.25
9.25,385,12.599999999999987,2.5
9.25,385,12.599999999999987,2.75
9.25,385,12.599999999999987,3.0
9.25,385,12.599999999999987,3.25
9.25,385,12.599999999999987,3.5
9.25,385,12.599999999999987,3.75
9.25,385,12.599999999999987,4.0
9.25,385,12.699999999999987,2
9.25,385,12.699999999999987,2.25
9.25,385,12.699999999999987,2.5
9.25,385,12.699999999999987,2.75
9.25,385,12.699999999999987,3.0
9.25,385,12.699999999999987,3.25
9.25,385,12.699999999999987,3.5
9.25,385,12.699999999999987,3.75
9.25,385,12.699999999999987,4.0
9.25,385,12.799999999999986,2
9.25,385,12.799999999999986,2.25
9.25,385,12.799999999999986,2.5
9.25,385,12.799999999999986,2.75
9.25,385,12.799999999999986,3.0
9.25,385,12.799999999999986,3.25
9.25,385,12.799999999999986,3.5
9.25,385,12.799999999999986,3.75
9.25,385,12.799999999999986,4.0
9.25,385,12.899999999999986,2
9.25,385,12.899999999999986,2.25
9.25,385,12.899999999999986,2.5
9.25,385,12.899999999999986,2.75
9.25,385,12.899999999999986,3.0
9.25,385,12.899999999999986,3.25
9.25,385,12.899999999999986,3.5
9.25,385,12.899999999999986,3.75
9.25,385,12.899999999999986,4.0
9.25,385,12.999999999999986,2
9.25,385,12.999999999999986,2.25
9.25,385,12.999999999999986,2.5
9.25,385,12.999999999999986,2.75
9.25,385,12.999999999999986,3.0
9.25,385,12.999999999999986,3.25
9.25,385,12.999999999999986,3.5
9.25,385,12.999999999999986,3.75
9.25,385,12.999999999999986,4.0
9.25,385,13.099999999999985,2
9.25,385,13.099999999999985,2.25
9.25,385,13.099999999999985,2.5
9.25,385,13.099999999999985,2.75
9.25,385,13.099999999999985,3.0
9.25,385,13.099999999999985,3.25
9.25,385,13.099999999999985,3.5
9.25,385,13.099999999999985,3.75
9.25,385,13.099999999999985,4.0
9.25,385,13.199999999999985,2
9.25,385,13.199999999999985,2.25
9.25,385,13.199999999999985,2.5
9.25,385,13.199999999999985,2.75
9.25,385,13.199999999999985,3.0
9.25,385,13.199999999999985,3.25
9.25,385,13.199999999999985,3.5
9.25,385,13.199999999999985,3.75
9.25,385,13.199999999999985,4.0
9.25,385,13.299999999999985,2
9.25,385,13.299999999999985,2.25
9.25,385,13.299999999999985,2.5
9.25,385,13.299999999999985,2.75
9.25,385,13.299999999999985,3.0
9.25,385,13.299999999999985,3.25
9.25,385,13.299999999999985,3.5
9.25,385,13.299999999999985,3.75
9.25,385,13.299999999999985,4.0
9.25,385,13.399999999999984,2
9.25,385,13.399999999999984,2.25
9.25,385,13.399999999999984,2.5
9.25,385,13.399999999999984,2.75
9.25,385,13.399999999999984,3.0
9.25,385,13.399999999999984,3.25
9.25,385,13.399999999999984,3.5
9.25,385,13.399999999999984,3.75
9.25,385,13.399999999999984,4.0
9.25,385,13.499999999999984,2
9.25,385,13.499999999999984,2.25
9.25,385,13.499999999999984,2.5
9.25,385,13.499999999999984,2.75
9.25,385,13.499999999999984,3.0
9.25,385,13.499999999999984,3.25
9.25,385,13.499999999999984,3.5
9.25,385,13.499999999999984,3.75
9.25,385,13.499999999999984,4.0
9.25,385,13.599999999999984,2
9.25,385,13.599999999999984,2.25
9.25,385,13.599999999999984,2.5
9.25,385,13.599999999999984,2.75
9.25,385,13.599999999999984,3.0
9.25,385,13.599999999999984,3.25
9.25,385,13.599999999999984,3.5
9.25,385,13.599999999999984,3.75
9.25,385,13.599999999999984,4.0
9.25,385,13.699999999999983,2
9.25,385,13.699999999999983,2.25
9.25,385,13.699999999999983,2.5
9.25,385,13.699999999999983,2.75
9.25,385,13.699999999999983,3.0
9.25,385,13.699999999999983,3.25
9.25,385,13.699999999999983,3.5
9.25,385,13.699999999999983,3.75
9.25,385,13.699999999999983,4.0
9.25,385,13.799999999999983,2
9.25,385,13.799999999999983,2.25
9.25,385,13.799999999999983,2.5
9.25,385,13.799999999999983,2.75
9.25,385,13.799999999999983,3.0
9.25,385,13.799999999999983,3.25
9.25,385,13.799999999999983,3.5
9.25,385,13.799999999999983,3.75
